Pockels V	No objective	Olympus 20X	Nikon 25X	Olympus 40X	Olympus 60X	Save Objective
0	0					
0.1	1.9					
0.2	9.3					
0.3	21.6					
0.4	39					
0.5	58.6					
0.6	80.7					
0.7	104					
0.8	127					
0.9	146					
1	159					
1.1	162					
1.2	162					
1.3	162					
1.4	163					
1.5	161					
1.6	161					
1.7	161					
1.8	161					
1.9	161					
2	161					
Cal subset indexes						
0	11					
